split,score_thr,nms_thr,Precision,Recall,F1,mAP,MAE,RMSE
valid,1.5,0.1,0.20833333333333334,1.0,0.3448275862068966,0.28574016563147,4.0,5.176871642217914
valid,1.7,0.1,0.2222222222222222,1.0,0.36363636363636365,0.41666666666666663,5.5,6.8044103344816
valid,1.9,0.1,0.4,1.0,0.5714285714285714,0.41666666666666663,5.9,7.286974680894672
valid,2.0,0.1,0.3333333333333333,1.0,0.5,0.3333333333333333,6.1,7.516648189186454
valid,2.1,0.1,0.0,0.0,0.0,0.0,6.2,7.694153624668538
valid,1.5,0.2,0.2,1.0,0.3333333333333333,0.2839285714285714,3.9,5.089204259999788
valid,1.7,0.2,0.2222222222222222,1.0,0.36363636363636365,0.41666666666666663,5.5,6.8044103344816
valid,1.9,0.2,0.4,1.0,0.5714285714285714,0.41666666666666663,5.9,7.286974680894672
valid,2.0,0.2,0.3333333333333333,1.0,0.5,0.3333333333333333,6.1,7.516648189186454
valid,2.1,0.2,0.0,0.0,0.0,0.0,6.2,7.694153624668538
valid,1.5,0.4,0.16666666666666666,1.0,0.2857142857142857,0.23191865605658707,4.0,5.039841267341661
valid,1.7,0.4,0.18181818181818182,1.0,0.3076923076923077,0.3333333333333333,5.7,6.862943974709396
valid,1.9,0.4,0.2857142857142857,1.0,0.4444444444444444,0.3333333333333333,6.1,7.341661937191061
valid,2.0,0.4,0.3333333333333333,1.0,0.5,0.3333333333333333,6.1,7.516648189186454
valid,2.1,0.4,0.0,0.0,0.0,0.0,6.2,7.694153624668538
